
2025/03/02 (14:01:07) | INFO: Running on /dev/pts/1
2025/03/02 (14:01:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (14:01:07) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/02 (14:01:07) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/02 (14:01:07) | DEBUG: Shared::init() : Initialized.
2025/03/02 (14:01:21) | INFO: Quitting! Runtime: 00:00:14

2025/03/03 (21:07:09) | ===> btop++ v.1.4.0
2025/03/03 (21:07:09) | INFO: Logger set to DEBUG
2025/03/03 (21:07:09) | DEBUG: Using locale C.UTF-8
2025/03/03 (21:07:09) | INFO: Running on /dev/pts/1
2025/03/03 (21:07:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/03 (21:07:09) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/03 (21:07:09) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/03 (21:07:09) | DEBUG: Shared::init() : Initialized.
2025/03/03 (21:07:20) | INFO: Quitting! Runtime: 00:00:11

2025/03/05 (22:35:39) | ===> btop++ v.1.4.0
2025/03/05 (22:35:39) | INFO: Logger set to DEBUG
2025/03/05 (22:35:39) | DEBUG: Using locale C.UTF-8
2025/03/05 (22:35:39) | INFO: Running on /dev/pts/2
2025/03/05 (22:35:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/05 (22:35:39) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/05 (22:35:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/05 (22:35:39) | DEBUG: Shared::init() : Initialized.
2025/03/05 (22:35:51) | INFO: Quitting! Runtime: 00:00:12

2025/03/06 (00:04:16) | ===> btop++ v.1.4.0
2025/03/06 (00:04:16) | INFO: Logger set to DEBUG
